make,model,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,registrationcity,registrationstate,Selling_Price
Honda,Amaze,2014.0,Petrol,63946.0,1,Manual,Sedan,Bhiwani,Haryana,354000.0
Maruti,Alto,2022.0,Petrol,6040.0,1,Manual,Hatchback,Noida,Uttar Pradesh,392000.0
Maruti,Swift,2010.0,Petrol,21299.0,1,Manual,Hatchback,Delhi,Delhi,241999.0
Maruti,Ertiga,2017.0,Diesel,21655.0,1,Manual,SUV,Mumbai,Maharashtra,893000.0
Honda,City,2018.0,Petrol,35832.0,1,Automatic,Sedan,Mumbai,Maharashtra,1135000.0
Mahindra,Kuv 100 Nxt,2018.0,Petrol,40676.0,2,Manual,SUV,Bengaluru,Karnataka,430100.0
Hyundai,Elite I20,2015.0,Petrol,72521.0,3,Manual,Hatchback,New Delhi,Delhi,431800.0
Maruti,Alto K10,2019.0,Petrol,25603.0,1,Manual,Hatchback,New Delhi,Delhi,413000.0
Tata,Nexon,2020.0,Petrol,30356.0,1,Manual,SUV,Chennai,Tamil Nadu,1114000.0
Renault,Kwid,2016.0,Petrol,63720.0,2,Manual,Hatchback,Gurgaon,Haryana,234099.0
Maruti,Ertiga,2013.0,Petrol,44603.0,1,Manual,SUV,New Delhi,Delhi,522000.0
Hyundai,Verna,2016.0,Petrol,73664.0,1,Manual,Sedan,Kolkata,West Bengal,523699.0
Renault,Triber,2020.0,Petrol,43793.0,1,Manual,SUV,Faridabad,Haryana,607000.0
Hyundai,Grand I10,2017.0,Petrol,13909.0,1,Manual,Hatchback,Mumbai,Maharashtra,538000.0
Hyundai,Venue,2019.0,Petrol,57770.0,1,Automatic,SUV,Gurgaon,Haryana,959001.0
Hyundai,Creta,2015.0,Petrol,52045.0,1,Manual,SUV,Patna,Bihar,775000.0
Maruti,Dzire,2018.0,Diesel,56335.0,1,Manual,Sedan,Patna,Bihar,648700.0
Hyundai,Elite I20,2019.0,Diesel,66487.0,1,Manual,Hatchback,Pune,Maharashtra,739450.0
Hyundai,Grand I10,2015.0,Petrol,80533.0,1,Manual,Hatchback,Gurgaon,Haryana,428000.0
Volkswagen,Polo,2018.0,Petrol,64581.0,1,Manual,Hatchback,Bengaluru,Karnataka,612300.0
Volkswagen,Polo,2016.0,Petrol,52942.0,1,Manual,Hatchback,Panvel,Maharashtra,527000.0
Datsun,Go,2017.0,Petrol,21741.0,1,Manual,Hatchback,Ranipet,Tamil Nadu,307000.0
Honda,Amaze,2017.0,Petrol + Cng,73209.0,2,Manual,Sedan,Delhi,Delhi,479000.0
Hyundai,Verna,2019.0,Diesel,29373.0,1,Automatic,Sedan,Sanpada,Maharashtra,1320000.0
Tata,Tigor,2022.0,Petrol + Cng,4725.0,1,Manual,Hatchback,Lucknow,Uttar Pradesh,720599.0
Hyundai,Grand I10,2016.0,Petrol,69959.0,1,Manual,Hatchback,Ahmedabad,Gujarat,402000.0
Maruti,Swift,2012.0,Petrol,40110.0,1,Manual,Hatchback,Howrah,West Bengal,289000.0
Maruti,Wagon R 1.0,2017.0,Petrol + Cng,57606.0,1,Manual,Hatchback,Mumbai,Maharashtra,448000.0
Renault,Kwid,2019.0,Petrol,39111.0,1,Manual,Hatchback,Hyderabad,Telangana,345500.0
Maruti,Celerio,2015.0,Petrol,72908.0,1,Manual,Hatchback,New Delhi,Delhi,376000.0
Ford,Ecosport,2019.0,Diesel,39576.0,1,Manual,SUV,Bengaluru,Karnataka,986101.0
Honda,Amaze,2015.0,Petrol,13100.0,1,Automatic,Sedan,New Delhi,Delhi,464000.0
Tata,Tiago,2019.0,Petrol,7917.0,1,Manual,Hatchback,Delhi,Delhi,497000.0
Honda,Jazz,2018.0,Petrol,25238.0,1,Manual,Hatchback,Patna,Bihar,438000.0
Mahindra,Bolero,2021.0,Diesel,38143.0,1,Manual,SUV,Kanpur,Uttar Pradesh,796800.0
Maruti,Swift Dzire,2010.0,Petrol,70169.0,1,Manual,Sedan,Bangalore Central,Karnataka,347000.0
Hyundai,Verna,2017.0,Petrol,13163.0,1,Manual,Sedan,Delhi,Delhi,898000.0
Maruti,Swift Dzire,2014.0,Petrol,31135.0,1,Manual,Sedan,Bhopal,Madhya Pradesh,479700.0
Maruti,New  Wagon-R,2020.0,Petrol + Cng,46192.0,1,Manual,Hatchback,Sonipat,Haryana,586000.0
Hyundai,Elite I20,2014.0,Petrol,72108.0,1,Manual,Hatchback,Ahmedabad,Gujarat,528000.0
Maruti,Baleno,2017.0,Petrol,43638.0,1,Manual,Hatchback,Pune,Maharashtra,496600.0
Maruti,Wagon R 1.0,2018.0,Petrol + Cng,71530.0,1,Manual,Hatchback,Pune,Maharashtra,493999.0
Maruti,Alto,2019.0,Petrol + Cng,75079.0,1,Manual,Hatchback,Himatanagar,Gujarat,424000.0
Tata,Tiago,2019.0,Petrol,18624.0,1,Manual,Hatchback,Pune,Maharashtra,504000.0
Hyundai,Grand I10,2014.0,Petrol,29441.0,1,Manual,Hatchback,Noida,Uttar Pradesh,351599.0
Hyundai,I20,2012.0,Petrol,86688.0,1,Manual,Hatchback,Delhi,Delhi,287000.0
Hyundai,I10,2012.0,Petrol,28556.0,1,Manual,Hatchback,Noida,Uttar Pradesh,244000.0
Maruti,Wagon R 1.0,2018.0,Petrol + Cng,69379.0,2,Manual,Hatchback,Pune,Maharashtra,509000.0
Hyundai,Verna,2018.0,Petrol,40226.0,1,Manual,Sedan,Delhi,Delhi,839000.0
Maruti,Wagon R 1.0,2018.0,Petrol + Cng,69081.0,1,Manual,Hatchback,Delhi,Delhi,478699.0
Maruti,Swift Dzire,2012.0,Petrol,77037.0,2,Manual,Sedan,Vadodara,Gujarat,351000.0
Hyundai,Creta,2016.0,Diesel,81892.0,3,Manual,SUV,Thane,Maharashtra,751100.0
Maruti,Wagon R 1.0,2010.0,Petrol,67081.0,2,Manual,Hatchback,Delhi,Delhi,165000.0
Maruti,Wagon R 1.0,2016.0,Petrol,45669.0,1,Manual,Hatchback,Ghaziabad,Uttar Pradesh,346000.0
Maruti,Ertiga,2015.0,Petrol,75586.0,1,Manual,SUV,Thane,Maharashtra,646601.0
Toyota,Etios Liva,2015.0,Petrol,41363.0,2,Manual,Hatchback,Chennai,Tamil Nadu,434000.0
Nissan,Magnite,2021.0,Petrol,13717.0,1,Manual,Hatchback,Delhi,Delhi,686900.0
Maruti,Dzire,2019.0,Petrol,53877.0,1,Manual,Sedan,Kota,Rajasthan,588300.0
Hyundai,Creta,2017.0,Diesel,39194.0,1,Automatic,SUV,Mumbai,Maharashtra,1276000.0
Skoda,Rapid,2014.0,Diesel,84458.0,2,Manual,Sedan,Chennai South,Tamil Nadu,479000.0
Maruti,Swift Dzire,2013.0,Petrol,33166.0,1,Manual,Sedan,Mumbai,Maharashtra,395501.0
Hyundai,Accent,2010.0,Petrol,83947.0,2,Manual,Sedan,Hyderabad,Telangana,181900.0
Mahindra,Bolero,2019.0,Diesel,29954.0,1,Manual,SUV,Noida,Uttar Pradesh,824300.0
Maruti,Swift,2017.0,Diesel,53768.0,2,Manual,Hatchback,Pune,Maharashtra,463200.0
Maruti,Wagon R 1.0,2014.0,Petrol,23371.0,1,Manual,Hatchback,Delhi,Delhi,330000.0
Mercedes Benz,E Class,2013.0,Diesel,53524.0,1,Automatic,Luxury Sedan,Gurgaon,Haryana,935100.0
Hyundai,Elite I20,2016.0,Petrol,46864.0,3,Manual,Hatchback,Jaipur,Rajasthan,540000.0
Hyundai,New I20,2020.0,Petrol,4619.0,1,Manual,Hatchback,Chandigarh,Chandigarh,693000.0
Maruti,Celerio,2019.0,Petrol,13207.0,1,Manual,Hatchback,Bengaluru,Karnataka,523000.0
